Sample	LeftGene	RightGene	LeftGene_Name	RigthGene_Name	FFPM
2260_PR40952a	ENSG00000231121	ENSG00000067798	RP1-34H18.1	NAV3	0.6888
2260_PR40952a	ENSG00000113569	ENSG00000184178	NUP155	SCFD2	0.6888
2260_PR40952a	ENSG00000130338	ENSG00000236537	TULP4	RP11-732M18.3	0.4592
2260_PR40952a	ENSG00000100347	ENSG00000188677	SAMM50	PARVB	0.2296
2260_PR40952a	ENSG00000206975	ENSG00000125877	RNU6-13P	ITPA	0.2296
2260_PR40956d	ENSG00000164190	ENSG00000145604	NIPBL	SKP2	3.562
2260_PR40956d	ENSG00000113569	ENSG00000168671	NUP155	UGT3A2	3.9094
2260_PR40956d	ENSG00000149212	ENSG00000169862	SESN3	CTNND2	2.8917
2260_PR40956d	ENSG00000198382	ENSG00000150672	UVRAG	DLG2	2.1718
2260_PR40956d	ENSG00000261567	ENSG00000131149	RP11-680G10.1	GSE1	1.0325
2260_PR40956d	ENSG00000082068	ENSG00000255282	WDR70	WTAPP1	0.7323
2260_PR40956d	ENSG00000082068	ENSG00000113569	WDR70	NUP155	0.5201
2260_PR40956d	ENSG00000145604	ENSG00000056097	SKP2	ZFR	0.484
2260_PR40956d	ENSG00000113360	ENSG00000082196	DROSHA	C1QTNF3	0.2855
2260_PR40956d	ENSG00000261567	ENSG00000131149	RP11-680G10.1	GSE1	0.1588
2260_PR40956d	ENSG00000168671	ENSG00000113569	UGT3A2	NUP155	0.1365
2260_PR40956d	ENSG00000164190	ENSG00000242110	NIPBL	AMACR	0.2482
2260_PR40956d	ENSG00000130338	ENSG00000236537	TULP4	RP11-732M18.3	0.1203
2260_PR40956d	ENSG00000251314	ENSG00000153113	CTD-2337A12.1	CAST	0.1117
2260_PR40956d	ENSG00000174165	ENSG00000152578	ZDHHC24	GRIA4	0.1241
2260_PR40956d	ENSG00000077498	ENSG00000145555	TYR	MYO10	0.2606
2260_PR40956d	ENSG00000133401	ENSG00000079215	PDZD2	SLC1A3	0.1229
2260_PR40960a	ENSG00000231121	ENSG00000067798	RP1-34H18.1	NAV3	1.0873
2260_PR40960a	ENSG00000225851	ENSG00000206503	HLA-S	HLA-A	0.2154
2260_PR40960a	ENSG00000168653	ENSG00000127603	NDUFS5	MACF1	0.1436
2260_PR40960a	ENSG00000105889	ENSG00000136237	STEAP1B	RAPGEF5	0.1436
2260_PR40961a	ENSG00000141298	ENSG00000186866	SSH2	POFUT2	2.6811
2260_PR40961a	ENSG00000231121	ENSG00000067798	RP1-34H18.1	NAV3	0.6958
2260_PR40961a	ENSG00000162627	ENSG00000138031	SNX7	ADCY3	0.6754
2260_PR40961a	ENSG00000206952	ENSG00000125107	SNORA50	CNOT1	0.6345
2260_PR40961a	ENSG00000130338	ENSG00000236537	TULP4	RP11-732M18.3	0.3628
2260_PR40961a	ENSG00000025293	ENSG00000124177	PHF20	CHD6	0.4298
2260_PR40961a	ENSG00000130338	ENSG00000236537	TULP4	RP11-732M18.3	0.24
2260_PR40961a	ENSG00000038532	ENSG00000048471	CLEC16A	SNX29	0.1637
2260_PR40961a	ENSG00000230490	ENSG00000133121	RP11-141M1.3	STARD13	0.1316
2260_PR40961d	ENSG00000231121	ENSG00000067798	RP1-34H18.1	NAV3	0.8456
