Genes	Samples	Tested	Mutated
ACBD6_ENST00000367595-RRP15	1	1	1
ACSL3-ETV1	23	1	1
ACTB-GLI1	6	6	2
AGPAT5-MCPH1	1	1	1
AGTRAP-BRAF	1	1	1
AKAP9-BRAF	292	4	3
ARFIP1_ENST00000353617-FHDC1_ENST00000260008	1	1	1
ARID1A-MAST2	153	1	1
ASPSCR1_ENST00000306739-TFE3	221	75	24
ATG4C_ENST00000371120-FBXO38_ENST00000340253	1	1	1
ATIC-ALK	99	12	12
BBS9-PKD1L1	1	1	1
BCR-ABL1_ENST00000318560	8847	5483	178
BCR-JAK2	134	3	4
BRD3-NUTM1_ENST00000333756	3	2	2
BRD4-NUTM1_ENST00000333756	174	19	8
CANT1_ENST00000392446-ETV4	2	2	2
CARS_ENST00000397111-ALK	4	3	3
CBFA2T3-GLIS2	594	89	7
CCDC6-RET	6833	593	85
CD74-NRG1	882	11	3
CD74-ROS1	1701	39	18
CDH11-USP6_ENST00000250066	128	13	2
CDKN2D_ENST00000335766-WDFY2	67	13	1
CENPK-KMT2A	1	1	1
CEP89-BRAF	38	1	1
CHCHD7_ENST00000355315-PLAG1	120	4	4
CIC_ENST00000160740-DUX4	39	13	4
CIC_ENST00000160740-FOXO4	2	2	2
CLCN6-BRAF	96	1	1
CLIP1_ENST00000358808-ROS1	38	1	1
CLTC_ENST00000269122-ALK	173	26	19
CLTC_ENST00000269122-TFE3	3	1	3
CNBP_ENST00000422453-USP6_ENST00000250066	1	1	1
COL1A1-PDGFB	400	262	46
COL1A1-USP6_ENST00000250066	2	2	2
COL1A2-PLAG1	4	1	1
CRTC1_ENST00000321949-MAML2	632	253	21
CRTC3-MAML2	302	13	3
CTNNB1_ENST00000349496-PLAG1	108	17	7
DCTN1-ALK	39	3	2
DDX5-ETV4	1	1	1
DHH-RHEBL1	60	8	1
DNAJB1-PRKACA	186	107	4
EIF3E-RSPO2	69	2	1
EIF3K-CYP39A1	1	1	1
EML4-ALK	11343	720	128
EPC1-PHF1	1	1	1
ERC1_ENST00000360905-RET	194	2	4
ERC1_ENST00000360905-ROS1	38	1	1
ERO1A-FERMT2_ENST00000395631	1	1	1
ESRP1_ENST00000358397-RAF1	4	1	1
ETV6-ABL1_ENST00000318560	811	32	19
ETV6-ITPR2	1	1	1
ETV6-JAK2	192	4	4
ETV6-NTRK3_ENST00000394480	1059	144	38
ETV6-PDGFRB	42	26	13
ETV6-RUNX1	2277	357	28
EWSR1_ENST00000397938-ATF1	370	191	39
EWSR1_ENST00000397938-CREB1	85	28	10
EWSR1_ENST00000397938-DDIT3_ENST00000547303	344	26	17
EWSR1_ENST00000397938-ERG_ENST00000442448	1641	122	75
EWSR1_ENST00000397938-ETV1	65	4	6
EWSR1_ENST00000397938-ETV4	66	3	7
EWSR1_ENST00000397938-FEV	92	6	12
EWSR1_ENST00000397938-FLI1	2134	1333	135
EWSR1_ENST00000397938-MYB	3	1	1
EWSR1_ENST00000397938-NFATC1_ENST00000329101	1	1	1
EWSR1_ENST00000397938-NFATC2	4	4	1
EWSR1_ENST00000397938-NR4A3_ENST00000395097	176	85	16
EWSR1_ENST00000397938-PATZ1_ENST00000215919	1	1	1
EWSR1_ENST00000397938-PBX1	67	6	2
EWSR1_ENST00000397938-POU5F1	73	10	3
EWSR1_ENST00000397938-SMARCA5	1	1	1
EWSR1_ENST00000397938-SP3	1	1	1
EWSR1_ENST00000397938-WT1	267	121	45
EWSR1_ENST00000397938-YY1	16	2	1
EWSR1_ENST00000397938-ZNF384_ENST00000319770	2	2	1
EWSR1_ENST00000397938-ZNF444	67	2	2
EZR-ERBB4	549	1	1
EZR-ROS1	1104	7	7
