Sample Name	% Dups	% GC	Length	M Seqs
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40985a.dupmarked	31.70%	55%	75 bp	279.9
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41043d.dupmarked	29.40%	56%	75 bp	276.1
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40968a.dupmarked	30.50%	54%	75 bp	269
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41921a.dupmarked	28.80%	54%	75 bp	261.9
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40989a.dupmarked	33.70%	54%	75 bp	251
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40963a.dupmarked	33.70%	61%	75 bp	245.9
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41013a.dupmarked	37.80%	52%	75 bp	243
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40966d.dupmarked	26.30%	54%	75 bp	238.6
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41025a.dupmarked	23.80%	56%	75 bp	238.1
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40962a.dupmarked	41.30%	55%	75 bp	232
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41035a.dupmarked	29.10%	52%	75 bp	211.2
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40986a.dupmarked	38.50%	58%	75 bp	202.2
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41919a.dupmarked	42.20%	51%	75 bp	200.7
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40960a.dupmarked	28.00%	54%	75 bp	195.2
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41902a.dupmarked	44.70%	51%	75 bp	191.4
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40994a.dupmarked	26.10%	53%	75 bp	187.9
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41017a.dupmarked	29.10%	56%	75 bp	182.4
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40966e.dupmarked	24.90%	54%	75 bp	179.5
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40988a.dupmarked	25.20%	56%	75 bp	176.4
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41044a.dupmarked	26.30%	55%	75 bp	169.5
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41917a.dupmarked	28.80%	51%	75 bp	164
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41896c.dupmarked	23.60%	53%	75 bp	163.7
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41046e.dupmarked	26.00%	56%	75 bp	163.2
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40961e.dupmarked	25.00%	53%	75 bp	163.1
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41029e.dupmarked	26.50%	58%	75 bp	162.9
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41905a.dupmarked	24.70%	53%	75 bp	162.1
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41916a.dupmarked	24.80%	56%	75 bp	161.3
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40956d.dupmarked	25.40%	54%	75 bp	161.3
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40997a.dupmarked	30.30%	54%	75 bp	159.6
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40970a.dupmarked	24.00%	54%	75 bp	159.5
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41913a.dupmarked	27.90%	53%	75 bp	155.2
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41020a.dupmarked	35.90%	53%	75 bp	154.8
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41020d.dupmarked	41.40%	48%	75 bp	153.3
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40984a.dupmarked	24.80%	53%	75 bp	153
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41912a.dupmarked	40.70%	59%	75 bp	152.5
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40978d.dupmarked	24.40%	56%	75 bp	151.3
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40969a.dupmarked	28.80%	52%	75 bp	149.1
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41897a.dupmarked	27.60%	53%	75 bp	147.1
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41922d.dupmarked	23.10%	52%	75 bp	145.8
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41011a.dupmarked	33.80%	50%	75 bp	145.8
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41037a.dupmarked	25.60%	54%	75 bp	141.8
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41915a.dupmarked	30.20%	51%	75 bp	141.8
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40967a.dupmarked	22.30%	60%	75 bp	140.4
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41029g.dupmarked	24.70%	56%	75 bp	139.2
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40966a.dupmarked	22.00%	55%	75 bp	136.8
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40974a.dupmarked	34.90%	60%	75 bp	132.5
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40983a.dupmarked	40.00%	58%	75 bp	130.2
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40971a.dupmarked	27.70%	53%	75 bp	129.5
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41026d.dupmarked	26.40%	54%	75 bp	128.6
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41003a.dupmarked	28.30%	52%	75 bp	128.5
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41025d.dupmarked	23.70%	53%	75 bp	128.1
HUMAN_1000Genomes_hs37d5_RNA_seq_PR40996a.dupmarked	24.00%	54%	75 bp	127.2
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41030a.dupmarked	30.30%	53%	75 bp	119.7
HUMAN_1000Genomes_hs37d5_RNA_seq_PR41911a.dupmarked	34.70%	52%	75 bp	119.4
