X.FusionName	JunctionReadCount	SpanningFragCount	est_J	est_S	SpliceType	LeftGene	LeftBreakpoint	RightGene	RightBreakpoint	LargeAnchorSupport	FFPM	LeftBreakDinuc	LeftBreakEntropy	RightBreakDinuc	RightBreakEntropy	annots	Sample
RP1-34H18.1--NAV3	6	0	6	0	ONLY_REF_SPLICE	RP1-34H18.1^ENSG00000231121.2	chr12:77966046:+	NAV3^ENSG00000067798.9	chr12:78334099:+	YES_LDAS	0.6888	GT	1.5329	AG	1.9656	[INTRACHROMOSOMAL[chr12:0.26Mb]]	2260_PR40952a_1
NUP155--SCFD2	5	1	5	1	ONLY_REF_SPLICE	NUP155^ENSG00000113569.11	chr5:37348607:-	SCFD2^ENSG00000184178.11	chr4:53740228:-	YES_LDAS	0.6888	GT	1.9329	AG	1.9329	[INTERCHROMOSOMAL[chr5--chr4]]	2260_PR40952a_1
TULP4--RP11-732M18.3	4	0	4	0	ONLY_REF_SPLICE	TULP4^ENSG00000130338.8	chr6:158735300:+	RP11-732M18.3^ENSG00000236537.1	chr6:158733083:+	YES_LDAS	0.4592	GT	1.8256	AG	1.9086	[INTRACHROMOSOMAL[chr6:0.00Mb],LOCAL_REARRANGEMENT:+:[302]]	2260_PR40952a_1
SAMM50--PARVB	2	0	2	0	ONLY_REF_SPLICE	SAMM50^ENSG00000100347.10	chr22:44386286:+	PARVB^ENSG00000188677.10	chr22:44489808:+	YES_LDAS	0.2296	GT	1.5656	AG	1.9219	[GTEx_recurrent_StarF2019,INTRACHROMOSOMAL[chr22:0.01Mb],NEIGHBORS_OVERLAP:+:+:[11320]]	2260_PR40952a_1
RNU6-13P--ITPA	2	0	2	0	ONLY_REF_SPLICE	RNU6-13P^ENSG00000206975.1	chr8:57829749:+	ITPA^ENSG00000125877.8	chr20:3204012:+	YES_LDAS	0.2296	GT	1.7232	AG	1.9329	[INTERCHROMOSOMAL[chr8--chr20]]	2260_PR40952a_1
NIPBL--SKP2	208	79	208	79	ONLY_REF_SPLICE	NIPBL^ENSG00000164190.12	chr5:36962376:+	SKP2^ENSG00000145604.11	chr5:36177067:+	YES_LDAS	3.562	GT	1.7465	AG	1.7465	[DEEPEST2019,INTRACHROMOSOMAL[chr5:0.69Mb]]	2260_PR40956d_1
NUP155--UGT3A2	203	112	203	112	ONLY_REF_SPLICE	NUP155^ENSG00000113569.11	chr5:37363990:-	UGT3A2^ENSG00000168671.5	chr5:36064452:-	YES_LDAS	3.9094	GT	1.7819	AG	1.9899	[INTRACHROMOSOMAL[chr5:1.22Mb]]	2260_PR40956d_1
SESN3--CTNND2	196	37	196	37	ONLY_REF_SPLICE	SESN3^ENSG00000149212.6	chr11:94963947:-	CTNND2^ENSG00000169862.14	chr5:11111155:-	YES_LDAS	2.8917	GT	1.8323	AG	1.9656	[INTERCHROMOSOMAL[chr11--chr5]]	2260_PR40956d_1
UVRAG--DLG2	106	69	106	69	ONLY_REF_SPLICE	UVRAG^ENSG00000198382.4	chr11:75672593:+	DLG2^ENSG00000150672.12	chr11:83641526:-	YES_LDAS	2.1718	GT	1.8295	AG	1.8892	[INTRACHROMOSOMAL[chr11:7.31Mb]]	2260_PR40956d_1
RP11-680G10.1--GSE1	59	25	59	24.2	ONLY_REF_SPLICE	RP11-680G10.1^ENSG00000261567.1	chr16:85391249:+	GSE1^ENSG00000131149.13	chr16:85667520:+	YES_LDAS	1.0325	GT	1.9899	AG	1.9329	[INTRACHROMOSOMAL[chr16:0.25Mb]]	2260_PR40956d_1
WDR70--WTAPP1	51	8	51	8	ONLY_REF_SPLICE	WDR70^ENSG00000082068.4	chr5:37443474:+	WTAPP1^ENSG00000255282.2	chr11:102701463:+	YES_LDAS	0.7323	GT	1.9329	AG	1.585	[INTERCHROMOSOMAL[chr5--chr11]]	2260_PR40956d_1
