gene5	chrom5	strand5	brpos5	cds.brpos5.start	gene3	chrom3	strand3	brpos3	cds.brpos3.start	fusionName	symbol5	symbol3	SR.passed	MR.passed	supportRead	score	info	Sample
ENSG00000113569	5	-	37348607	37348654	ENSG00000184178	4	-	53740228	53740227	ENSG00000113569-ENSG00000184178	NUP155	SCFD2	0	6	7	7	NA	/2260_PR40952a_1
ENSG00000113569	5	-	37363990	37364031	ENSG00000168671	5	-	36064452	36064451	ENSG00000113569-ENSG00000168671	NUP155	UGT3A2	0	240	281	261.5	NA	/2260_PR40956d_1
ENSG00000149212	11	-	94963947	94963975	ENSG00000169862	5	-	11111155	11111155	ENSG00000149212-ENSG00000169862	SESN3	CTNND2	0	134	226	226	NA	/2260_PR40956d_1
ENSG00000164190	5	+	36962376	36962347	ENSG00000145604	5	+	36177067	36177068	ENSG00000164190-ENSG00000145604	NIPBL	SKP2	0	135	236	203	NA	/2260_PR40956d_1
ENSG00000198382	11	+	75672593	75672562	ENSG00000150672	11	-	83641526	83641524	ENSG00000198382-ENSG00000150672	UVRAG	DLG2	0	143	181	180	NA	/2260_PR40956d_1
ENSG00000101307	20	-	1546876	1546913	ENSG00000198053	20	+	1905410	1905410	ENSG00000101307-ENSG00000198053	SIRPB1	SIRPA	2	0	42	33	NA	/2260_PR40956d_1
ENSG00000145604	5	+	36171835	36171801	ENSG00000056097	5	-	32390543	32390542	ENSG00000145604-ENSG00000056097	SKP2	ZFR	0	31	31	31	NA	/2260_PR40956d_1
ENSG00000077498	11	+	88924586	88924535	ENSG00000145555	5	-	16681612	16681611	ENSG00000077498-ENSG00000145555	TYR	MYO10	0	21	24	22	NA	/2260_PR40956d_1
ENSG00000133401	5	+	31855274	31855230	ENSG00000079215	5	+	36676994	36677012	ENSG00000133401-ENSG00000079215	PDZD2	SLC1A3	0	10	14	14	NA	/2260_PR40956d_1
ENSG00000150672	11	-	83243794	83243794	ENSG00000170962	11	-	103870983	103870981	ENSG00000150672-ENSG00000170962	DLG2	PDGFD	0	8	9	9	NA	/2260_PR40956d_1
ENSG00000174165	11	-	66311175	66311235	ENSG00000152578	11	+	105732750	105732767	ENSG00000174165-ENSG00000152578	ZDHHC24	GRIA4	0	5	10	9	NA	/2260_PR40956d_1
ENSG00000109861	11	-	88029327	88029362	ENSG00000123892	11	-	87908601	87908409	ENSG00000109861-ENSG00000123892	CTSC	RAB38	0	6	7	7	NA	/2260_PR40956d_1
ENSG00000145604	5	+	36177394	36177314	ENSG00000164190	5	+	36953720	36953723	ENSG00000145604-ENSG00000164190	SKP2	NIPBL	0	3	4	4	NA	/2260_PR40956d_1
ENSG00000203727	6	+	147830523	147830427	ENSG00000111961	6	+	148711270	148711272	ENSG00000203727-ENSG00000111961	SAMD5	SASH1	0	2	4	4	NA	/2260_PR40956d_1
ENSG00000139304	12	+	80859315	80859270	ENSG00000104164	15	+	45890078	45890107	ENSG00000139304-ENSG00000104164	PTPRQ	BLOC1S6	0	3	3	3	NA	/2260_PR40956d_1
ENSG00000197603	5	-	37153963	37153910	ENSG00000173898	11	-	66488733	66488733	ENSG00000197603-ENSG00000173898	C5orf42	SPTBN2	0	2	3	3	NA	/2260_PR40956d_1
ENSG00000101307	20	-	1546876	1546913	ENSG00000198053	20	+	1905410	1905410	ENSG00000101307-ENSG00000198053	SIRPB1	SIRPA	3	0	107	85		/2260_PR40960a_1
ENSG00000187951	15	+	30933820	30933820	ENSG00000198826	15	+	32921796	32921963	ENSG00000187951-ENSG00000198826	ARHGAP11B	ARHGAP11A	1	0	70	70		/2260_PR40960a_1
ENSG00000178928	19	-	48322229	48322278	ENSG00000136235	7	+	23306100	23306101	ENSG00000178928-ENSG00000136235	TPRX1	GPNMB	0	31	31	31		/2260_PR40960a_1
ENSG00000131969	14	+	51360282	51360105	ENSG00000172890	11	+	71216614	71216779	ENSG00000131969-ENSG00000172890	ABHD12B	NADSYN1	0	30	31	30.5		/2260_PR40960a_1
ENSG00000196678	16	-	20817109	20817157	ENSG00000083828	19	+	58310604	58310606	ENSG00000196678-ENSG00000083828	ERI2	ZNF586	0	4	6	6		/2260_PR40960a_1
ENSG00000101294	20	+	30135409	30135338	ENSG00000232119	X	+	119739262	119739342	ENSG00000101294-ENSG00000232119	HM13	MCTS1	0	5	5	5	cytosolic ribosomal subunit, ribonucleoprotein, 	/2260_PR40960a_1
ENSG00000225119	10	+	38734535	38734383	ENSG00000203880	20	+	62919032	62919067	ENSG00000225119-ENSG00000203880	LINC00999	PCMTD2	0	2	5	5		/2260_PR40960a_1
ENSG00000067167	8	-	71495399	71495512	ENSG00000155714	16	-	22006629	22006626	ENSG00000067167-ENSG00000155714	TRAM1	PDZD9	0	3	3	3		/2260_PR40960a_1
ENSG00000198598	12	+	132313198	132313140	ENSG00000184967	12	+	132635526	132635528	ENSG00000198598-ENSG00000184967	MMP17	NOC4L	0	3	3	3	ribonucleoprotein, 	/2260_PR40960a_1
ENSG00000141298	17	-	28011581	28011624	ENSG00000186866	21	-	46698084	46698084	ENSG00000141298-ENSG00000186866	SSH2	POFUT2	0	69	129	129	NA	/2260_PR40961a_1
ENSG00000025293	20	+	34519366	34519317	ENSG00000124177	20	-	40192790	40192789	ENSG00000025293-ENSG00000124177	PHF20	CHD6	0	13	16	16	NA	/2260_PR40961a_1
ENSG00000143970	2	-	26068350	26068384	ENSG00000138031	2	-	25062900	25062845	ENSG00000143970-ENSG00000138031	ASXL2	ADCY3	0	8	9	9	NA	/2260_PR40961a_1
ENSG00000038532	16	+	11038654	11038608	ENSG00000048471	16	+	12121177	12121180	ENSG00000038532-ENSG00000048471	CLEC16A	SNX29	0	7	8	8	NA	/2260_PR40961a_1
ENSG00000124177	20	-	40141485	40141586	ENSG00000025293	20	+	34501171	34501174	ENSG00000124177-ENSG00000025293	CHD6	PHF20	0	7	8	8	NA	/2260_PR40961a_1
ENSG00000128891	15	-	40854971	40855013	ENSG00000122565	7	+	26241377	26241372	ENSG00000128891-ENSG00000122565	C15orf57	CBX3	0	2	3	3	NA	/2260_PR40961a_1
ENSG00000162627	1	+	99167459	99167412	ENSG00000138031	2	-	25065253	25065251	ENSG00000162627-ENSG00000138031	SNX7	ADCY3	0	12	24	23.5		/2260_PR40961d_1
ENSG00000253710	13	+	52603793	52603739	ENSG00000156697	X	+	129054651	129054548	ENSG00000253710-ENSG00000156697	ALG11	UTP14A	0	17	18	17.5	ribonucleoprotein, 	/2260_PR40961d_1
ENSG00000196678	16	-	20817332	20817231	ENSG00000083828	19	+	58310604	58310606	ENSG00000196678-ENSG00000083828	ERI2	ZNF586	0	6	17	17		/2260_PR40961d_1
ENSG00000025293	20	+	34519366	34519310	ENSG00000124177	20	-	40162209	40162206	ENSG00000025293-ENSG00000124177	PHF20	CHD6	0	9	15	15		/2260_PR40961d_1
ENSG00000143970	2	-	26068350	26068383	ENSG00000138031	2	-	25062900	25062845	ENSG00000143970-ENSG00000138031	ASXL2	ADCY3	0	10	11	11		/2260_PR40961d_1
ENSG00000178928	19	-	48322229	48322278	ENSG00000136235	7	+	23306136	23306136	ENSG00000178928-ENSG00000136235	TPRX1	GPNMB	0	8	8	8		/2260_PR40961d_1
ENSG00000038532	16	+	11038654	11038618	ENSG00000048471	16	+	12121177	12121180	ENSG00000038532-ENSG00000048471	CLEC16A	SNX29	0	2	7	7		/2260_PR40961d_1
ENSG00000037749	5	+	153501457	153501510	ENSG00000233828	5	-	86514167	86514049	ENSG00000037749-ENSG00000233828	MFAP3		0	4	5	5		/2260_PR40961d_1
ENSG00000132313	2	+	86433418	86433340	ENSG00000156110	10	+	76287518	76287539	ENSG00000132313-ENSG00000156110	MRPL35	ADK	0	4	4	4	mitochondrial translation, ribonucleoprotein, 	/2260_PR40961d_1
ENSG00000012048	17	-	41231351	41231395	ENSG00000164070	4	+	128734173	128734305	ENSG00000012048-ENSG00000164070	BRCA1	HSPA4L	0	3	3	3	ribonucleoprotein, 	/2260_PR40961d_1
ENSG00000182545	14	+	20974178	20974109	ENSG00000004846	7	+	20721128	20721129	ENSG00000182545-ENSG00000004846	RNASE10	ABCB5	0	2	3	3		/2260_PR40961d_1
ENSG00000198826	15	+	32925309	32925180	ENSG00000187951	15	+	30933725	30933725	ENSG00000198826-ENSG00000187951	ARHGAP11A	ARHGAP11B	1	0	116	115.2	NA	/2260_PR40961e_1
ENSG00000162627	1	+	99167459	99167412	ENSG00000138031	2	-	25065253	25065251	ENSG00000162627-ENSG00000138031	SNX7	ADCY3	0	37	59	59	NA	/2260_PR40961e_1
ENSG00000205664	X	-	3746934	3747153	ENSG00000022976	14	+	102792322	102792322	ENSG00000205664-ENSG00000022976		ZNF839	0	11	38	34	NA	/2260_PR40961e_1
ENSG00000025293	20	+	34519366	34519325	ENSG00000124177	20	-	40162209	40162206	ENSG00000025293-ENSG00000124177	PHF20	CHD6	0	27	33	33	NA	/2260_PR40961e_1
ENSG00000143970	2	-	26068350	26068383	ENSG00000138031	2	-	25062900	25062845	ENSG00000143970-ENSG00000138031	ASXL2	ADCY3	0	28	29	29	NA	/2260_PR40961e_1
ENSG00000178928	19	-	48322229	48322278	ENSG00000136235	7	+	23306100	23306101	ENSG00000178928-ENSG00000136235	TPRX1	GPNMB	0	21	21	21	NA	/2260_PR40961e_1
ENSG00000038532	16	+	11038654	11038628	ENSG00000048471	16	+	12121177	12121180	ENSG00000038532-ENSG00000048471	CLEC16A	SNX29	0	15	21	21	NA	/2260_PR40961e_1
ENSG00000182545	14	+	20974178	20974135	ENSG00000004846	7	+	20721128	20721162	ENSG00000182545-ENSG00000004846	RNASE10	ABCB5	0	3	7	7	NA	/2260_PR40961e_1
ENSG00000123104	12	-	26834807	26834857	ENSG00000067141	15	+	73514260	73514265	ENSG00000123104-ENSG00000067141	ITPR2	NEO1	0	4	5	4.08333333333333	NA	/2260_PR40961e_1
ENSG00000108599	17	-	19835118	19835165	ENSG00000034152	17	+	21208363	21208375	ENSG00000108599-ENSG00000034152	AKAP10	MAP2K3	0	4	4	4	NA	/2260_PR40961e_1
ENSG00000128923	15	+	59114018	59113937	ENSG00000112695	6	-	75951654	75951634	ENSG00000128923-ENSG00000112695	FAM63B	COX7A2	0	3	4	3.07692307692308	NA	/2260_PR40961e_1
ENSG00000112531	6	+	163899834	163899861	ENSG00000143257	1	-	161205767	161205357	ENSG00000112531-ENSG00000143257	QKI	NR1I3	0	3	3	3	NA	/2260_PR40961e_1
ENSG00000111846	6	+	10530069	10530023	ENSG00000119950	10	+	111987947	111987973	ENSG00000111846-ENSG00000119950	GCNT2	MXI1	0	3	3	3	NA	/2260_PR40961e_1
